" "	"Akt"	"Alk1"	"Alk5"	"ATF2"	"ATF4"	"B-catenin"	"BMP"	"CCND1"	"Col-II"	"Col-X"	"d-EF1"	"Destruction complex"	"DKK1"	"Dlx5"	"Dsh"	"Elk1"	"ERK1/2"	"FGF"	"Fgfr1"	"Fgfr3"	"FOXO"	"Frizzled-LRP5/6"	"FRZB"	"Gli2"	"Grem1"	"GSK3beta"	"HDAC4"	"Hif-2a"	"IGF-IR"	"IGFI"	"Ihh"	"IkBa"	"Infl. cytokines"	"JNK"	"Lef/tcf"	"Mef2C"	"MMP13"	"Msx2"	"NFkB"	"Nkx3.2"	"p38"	"PI3K"	"PKA"	"PP2A"	"PPR"	"Proteoglycans"	"PTHrP"	"R-Smad"	"R_inflam"	"Ras"	"Runx2"	"Smad Complex"	"Smad3"	"Smad7"	"SOCS"	"Sox9"	"Stat1"	"TAK1"	"TGF-beta"	"Wnt"
"d-EF1"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] p65 (NfkB fragment) increased ZEB-1 promoter activity. And Zeb1 is induced by TNF-a (an inducer of NfkB). (Reference not chondrocyte-specific but if binding site of NfkB present in Zeb1--promoter, it is likely to be also present in chondrocyte were Nfkb also happend to be expressed))"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Mathematically inferred interaction based on microarray data"	"[0] "	"[0] "	"[0] "	"[-1] Decrease of delta-EF1 expression by BMP siganlling (but not shown in chondrocyte: breast cancer)"	"[1] TGF-beta would induce the expression of Ets1, which in turn activates deltaEF1 promoter activity. (not chondrocyte specific reference). This is summarized by activation of d-EF1 expression by Smad3, which is a downstream nuclear effector of TGFbeta"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Destruction complex"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"DKK1"	"[0] "	"[0] "	"[0] "	"[-1] TGF-b regulate Wnt signalling in chondrocytes by downregulating the Wtn antagonist DKK1, in a p38 dependant way. The downstream nuclear effector of the TGF-b/p38 pathway in the model"	"[0] "	"[-1] There is a Wnt signalling feeback loop, Wnt signalling decreases transcriptional expression of Wnt antagonists Frzb and DKK1 and of BMP antagonist, Grem1"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] Single and repeated treatments with Il-1B reduced mRNA levels of DKK1 in adult articular chondrocytes. Nfkb being the main transcriptional tranducer of the IL-1b pro inflammatory cytokines, this hypothetic regulatory link between Nfkb and Dkk1was added in the model"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Stronger BMP signaling results in the upregulation of WNT antagonists, establishing a negative feedback mitigating WNT signaling"	"[0] "	"[0] "	"[0] "	"[1] DKK1 transcript level negatively correlates with OA. DKK1 is expressed in non hypetrophic chondrocyte (expressing Sox9). This regulatory link enable Sox9+ chondrocyte to express DKK1 in the model. This is a calibration choice but not direct supporting evidence/"	"[0] "	"[0] "	"[0] "	"[0] "
"Dlx5"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] MEF2C is required for normal Dlx5 expression (reference for cranofacial developement) "	"[0] "	"[0] Msx2 and Dlx5 might influence each other transcriptional level by supression of their respective expression. In the model they are involved in a negative feedback loop both at the protein and transcriptional level"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] BMP signalling induces Dlx5 gene expression, Smad Complex is the downstream effector of BMP pathway in the model. BMP2 induction of Runx2 expression passes is mediated by Dlx5 upregulation. Overexpression of Smad1 or Smad5  stimulate Dlx5 transcription"	"[-1] TGF-B1 signalling suppresses Dlx5 expression, it is modeled by inhibtion of Dlx5 expression by Smad3, the downtream transcription fator of TGF-B1 pathway"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Dsh"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Elk1"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"ERK1/2"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Mathematically inferred interaction based on microarray data"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"FGF"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Wnt signalling is requited to induces FGF (at least FGF-8, FGF-10) in mouse growth plate"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] RUNX2 controls FGF18 expression in the perichondrium and thus FGFR3 activation and chondrocyte proliferation in the growth plate. Does Runx2 also promotes fgf18 in (AC) chodnrocyte "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Fgfr1"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Fgfr1 is upregulated in (pre)hypertorphic chondrocytes, Fgfr3 is expressed in proliferative chondrocyte and disappears in later stage of chodrocyte maturation. Fgfr1 was reported to be upregulated in OA chondrocyte. To translate this in the model, fgfr1 expression is activated by Runx2 a major regulator gene activator in hypertophy"	"[-1] BMP signalling inhibits FGF signalling by inhibiting Fgfr1 expression in growth plate chondrocytes"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Fgfr3"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] "FGFR3 was negatively regulated by FGF-2 at the transcriptional level through the FGFR1-ERK (extracellular signal-regulated kinase) signaling pathway in human articular chondrocytes." This corroborate with the notion that the balance between fgfr1 and fgfr3 is of high importance for cartilage homeostasis. Elk-1 tranduces ERK1/2 signal into the nucleus, a ERK1/2 dependent inhibition of Fgfr3 was introduce to account for that."	"[1] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] Fgfr1 is upregulated in (pre)hypertorphic chondrocytes, Fgfr3 is expressed in proliferative chondrocyte and disappears in later stage of chondrocyte maturation. To translate this in the model, fgfr1 expression is activated by Runx2 while Fgfr3 by Sox9 SOX9 upregulates Fgfr3"	"[0] "	"[0] "	"[0] "	"[0] "
"FOXO"	"[0] "	"[0] "	"[0] "	"[1] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"Frizzled-LRP5/6"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
"FRZB"	"[0] "	"[0] "	"[0] "	"[-1] Frzb promoter is regulated by direct binding of CREB. "	"[0] "	"[-1] There is a Wnt signalling feeback loop, Wnt signalling decreases transcriptional expression of Wnt antagonists Frzb and DKK1 and of BMP antagonist, Grem1"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] Single and repeated treatments with Il-1B reduced mRNA levels of FRZB in adult articular chondrocytes. Nfkb being the main transcriptional tranducer of the IL-1b pro inflammatory cytokines, this hypothetic regulatory link between Nfkb and FRZB was added in the model"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[1] " Stronger BMP signaling results in the upregulation of WNT antagonists, establishing a negative feedback mitigating WNT signaling""	"[0] "	"[0] "	"[0] "	"[1] FrzB transcript level negatively correlates with OA. FRzB is expressed in non hypetrophic chondrocyte (expressing Sox9). This regulatory link enable Sox9+ chondrocyte to express Frzb in the model"	"[0] "	"[0] "	"[0] "	"[0] "
"Gli2"	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[-1] Enhanced Indian hedgehog signaling and RUNX2 expression in Fgfr3 conditional KO mice. enhanced Runx2 might be a consequence on Ihh/Gli2 signalling activation The mechanisms of action for the regulation of IHH expression by FGFR3 is yet elusive but it would activate ERK/MAPK without donwstream activation of Runx2 or Elk-1 (Ets1) activity but leading to downregulation of Gli2 and Ihh expresion. Even though FGFR3 is not a transcription factor, this effect was modelled by a direct inlfuence of FGFR3 activity on Ihh and GLi2 expression."	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "	"[0] "
